track,artist,album,genres
Vital Signs,Rush,Moving Pictures,"('Progressive rock', 'hard rock')"
Witch Hunt,Rush,Moving Pictures,"('Progressive rock', 'classic rock')"
The Camera Eye,Rush,Moving Pictures,"('Progressive rock', 'classic rock')"
The Camera Eye,Rush,Moving Pictures,"('Progressive rock', 'classic rock')"
Limelight,Rush,Moving Pictures,"('Progressive rock', 'classic rock')"
YYZ,Rush,Moving Pictures,"('Progressive rock', 'instrumental')"
Red Barchetta,Rush,Moving Pictures,"('Progressive rock', 'classic rock')"
Tom Sawyer,Rush,Moving Pictures,"('Progressive rock', 'classic rock')"
Fool for the City,Foghat,Fool for the City,"('classic rock', 'hard rock')"
I Just Want to Make Love to You,Foghat,Foghat,"('classic rock', 'rock')"
Sometime World,Wishbone Ash,Argus (Expanded Edition),"('Progressive rock', 'rock')"
Slow Ride,Foghat,Slow Ride / Save Your Loving (For Me),"('classic rock', 'rock')"
Bottom,Tool,Undertow,"('Progressive metal', 'alternative metal')"
At The Cauldron's Bottom,Full of Hell,Trumpeting Ecstasy,"('grindcore', 'heavy')"
Trumpeting Ecstasy,Full of Hell,Trumpeting Ecstasy,"('noise', 'heavy')"
Ashen Mesh,Full of Hell,Trumpeting Ecstasy,()
Gnawed Flesh,Full of Hell,Trumpeting Ecstasy,"('heavy', 'death metal')"
Fractured Quartz,Full of Hell,Trumpeting Ecstasy,"('grindcore', 'powerviolence')"
Crawling Back To God,Full of Hell,Trumpeting Ecstasy,"('death metal', 'heavy')"
Digital Prison,Full of Hell,Trumpeting Ecstasy,()
The Cosmic Vein,Full of Hell,Trumpeting Ecstasy,"('grindcore', 'death metal')"
Bound Sphinx,Full of Hell,Trumpeting Ecstasy,"('grindcore', 'deathgrind')"
Branches Of Yew,Full of Hell,Trumpeting Ecstasy,"('grindcore', 'deathgrind')"
Deluminate,Full of Hell,Trumpeting Ecstasy,"('noise', 'grindcore')"
You Will Never Be One Of Us,Nails,You Will Never Be One Of Us,"('powerviolence', 'grindcore')"
Amplifier,Jucifer,I Name You Destroyer,"('rock', 'alternative rock')"
Marigold,Caligula's Horse,Bloom,"('Progressive metal',)"
Disengage The Simulator,CKY,"Camp Kill Yourself, Vol.1","('CKY', 'rock')"
Drain The Blood,The Distillers,Coral Fang (PA Version),"('punk rock', 'punk')"
All Our Thoughts,Kadavar,Kadavar,"('Stoner Rock', 'rock')"
Last Living Dinosaur,Kadavar,Berlin,()
The Black Plot,High on Fire,Luminiferous,"('metal', 'thrash')"
Forkboy,Lard,The Last Temptation Of Reid,"('industrial', 'punk')"
Peace Sells,Megadeth,Peace Sells...But Who's Buying,"('thrash metal', 'metal')"
Parallel Universe,Red Hot Chili Peppers,Californication,"('rock', 'alternative rock')"
He Got Game,Public Enemy,He Got Game (Soundtrack),"('Hip-Hop', 'rap')"
Fight the Power,Public Enemy,Fear of a Black Planet,"('Hip-Hop', 'rap')"
?,MF DOOM,OPERATION: DOOMSDAY (Complete),"('hip hop', 'rap')"
The Aura,Apollo Brown,Anchovies,()
Broken,Gorillaz,Plastic Beach,"('electronic', 'alternative')"
Bistro,Madvillain,Madvillainy,"('Hip-Hop', 'hip hop')"
Rainbows,Madvillain,Madvillainy,"('Hip-Hop', 'underground hip-hop')"
Bring the Noise,Public Enemy,It Takes a Nation of Millions to Hold Us Back,"('Hip-Hop', 'rap')"
Vapors,Biz Markie,Just A Friend - EP,"('Hip-Hop', 'golden age hip hop')"
Don't Believe the Hype,Public Enemy,It Takes a Nation of Millions to Hold Us Back,"('Hip-Hop', 'rap')"
